no_attrib,pre_process,test_size,activation,optimiser,no_epochs,batch_size,loss
4,scaled,0.3,tanh,sgd,100,10,17.7071547
5,scaled,0.3,tanh,sgd,100,10,13.58888162
6,scaled,0.3,tanh,sgd,100,10,18.41684404
7,scaled,0.3,tanh,sgd,100,10,16.56658665
8,scaled,0.3,tanh,sgd,100,10,14.14077217
9,scaled,0.3,tanh,sgd,100,10,18.49387074
10,scaled,0.3,tanh,sgd,100,10,15.45080371
11,scaled,0.3,tanh,sgd,100,10,12.53805923
12,scaled,0.3,tanh,sgd,100,10,12.78840115
1,scaled,0.3,sigmoid,sgd,100,10,24.70997891
2,scaled,0.3,sigmoid,sgd,100,10,23.86682365
3,scaled,0.3,sigmoid,sgd,100,10,21.98619787
4,scaled,0.3,sigmoid,sgd,100,10,19.38192757
5,scaled,0.3,sigmoid,sgd,100,10,15.52049474
6,scaled,0.3,sigmoid,sgd,100,10,16.69610144
7,scaled,0.3,sigmoid,sgd,100,10,15.79005282
8,scaled,0.3,sigmoid,sgd,100,10,15.8999721
9,scaled,0.3,sigmoid,sgd,100,10,16.79530731
10,scaled,0.3,sigmoid,sgd,100,10,15.58001142
11,scaled,0.3,sigmoid,sgd,100,10,16.48631179
12,scaled,0.3,sigmoid,sgd,100,10,13.10513368
1,scaled,0.3,exponential,sgd,100,10,28.31087685
2,scaled,0.3,exponential,sgd,100,10,
3,scaled,0.3,exponential,sgd,100,10,
4,scaled,0.3,exponential,sgd,100,10,
5,scaled,0.3,exponential,sgd,100,10,
6,scaled,0.3,exponential,sgd,100,10,
7,scaled,0.3,exponential,sgd,100,10,
8,scaled,0.3,exponential,sgd,100,10,
9,scaled,0.3,exponential,sgd,100,10,
10,scaled,0.3,exponential,sgd,100,10,
11,scaled,0.3,exponential,sgd,100,10,
12,scaled,0.3,exponential,sgd,100,10,
1,scaled,0.3,elu,sgd,100,10,46.01713462
2,scaled,0.3,elu,sgd,100,10,24.66828135
3,scaled,0.3,elu,sgd,100,10,24.69102794
4,scaled,0.3,elu,sgd,100,10,21.56111479
5,scaled,0.3,elu,sgd,100,10,14.98757142
6,scaled,0.3,elu,sgd,100,10,16.51407023
7,scaled,0.3,elu,sgd,100,10,17.48638294
8,scaled,0.3,elu,sgd,100,10,17.8815411
9,scaled,0.3,elu,sgd,100,10,17.57677701
10,scaled,0.3,elu,sgd,100,10,19.5594641
11,scaled,0.3,elu,sgd,100,10,16.03456781
12,scaled,0.3,elu,sgd,100,10,25.59638415
1,scaled,0.3,linear,sgd,100,10,38.4392641
2,scaled,0.3,linear,sgd,100,10,36.56700305
3,scaled,0.3,linear,sgd,100,10,33.17025305
4,scaled,0.3,linear,sgd,100,10,30.86959523
5,scaled,0.3,linear,sgd,100,10,33.1499028
6,scaled,0.3,linear,sgd,100,10,70.71566772
7,scaled,0.3,linear,sgd,100,10,30.61332477
8,scaled,0.3,linear,sgd,100,10,29.0083647
9,scaled,0.3,linear,sgd,100,10,31.38538667
10,scaled,0.3,linear,sgd,100,10,28.00134338
11,scaled,0.3,linear,sgd,100,10,28.1123599
12,scaled,0.3,linear,sgd,100,10,49.07420751
1,scaled,0.3,relu,sgd,100,10,24.21183345
2,scaled,0.3,relu,sgd,100,10,25.91243182
3,scaled,0.3,relu,sgd,100,10,52.57183898
4,scaled,0.3,relu,sgd,100,10,19.49527314
5,scaled,0.3,relu,sgd,100,10,16.90041911
6,scaled,0.3,relu,sgd,100,10,14.65743968
7,scaled,0.3,relu,sgd,100,10,15.88537015
8,scaled,0.3,relu,sgd,100,10,28.79922937
9,scaled,0.3,relu,sgd,100,10,16.30472763
10,scaled,0.3,relu,sgd,100,10,20.28645445
11,scaled,0.3,relu,sgd,100,10,21.16102374
12,scaled,0.3,relu,sgd,100,10,16.54380329
1,scaled,0.3,tanh,sgd,100,10,25.21432656
2,scaled,0.3,tanh,sgd,100,10,24.26328303
3,scaled,0.3,tanh,sgd,100,10,21.10111322
4,scaled,0.3,tanh,sgd,100,10,22.64919088
5,scaled,0.3,tanh,sgd,100,10,13.53605672
6,scaled,0.3,tanh,sgd,100,10,15.73407748
7,scaled,0.3,tanh,sgd,100,10,13.67072565
8,scaled,0.3,tanh,sgd,100,10,14.28094382
9,scaled,0.3,tanh,sgd,100,10,17.90149373
10,scaled,0.3,tanh,sgd,100,10,16.48890332
11,scaled,0.3,tanh,sgd,100,10,13.94617107
12,scaled,0.3,tanh,sgd,100,10,13.8956214
1,scaled,0.3,sigmoid,sgd,100,10,25.06493207
2,scaled,0.3,sigmoid,sgd,100,10,24.88034861
3,scaled,0.3,sigmoid,sgd,100,10,22.03223823
4,scaled,0.3,sigmoid,sgd,100,10,19.20141634
5,scaled,0.3,sigmoid,sgd,100,10,14.66981137
6,scaled,0.3,sigmoid,sgd,100,10,16.29236712
7,scaled,0.3,sigmoid,sgd,100,10,17.54921439
8,scaled,0.3,sigmoid,sgd,100,10,15.77965738
9,scaled,0.3,sigmoid,sgd,100,10,15.52070263
10,scaled,0.3,sigmoid,sgd,100,10,14.95608101
11,scaled,0.3,sigmoid,sgd,100,10,15.61461737
12,scaled,0.3,sigmoid,sgd,100,10,13.43532093
1,scaled,0.3,exponential,sgd,100,10,
2,scaled,0.3,exponential,sgd,100,10,
3,scaled,0.3,exponential,sgd,100,10,
4,scaled,0.3,exponential,sgd,100,10,
5,scaled,0.3,exponential,sgd,100,10,
6,scaled,0.3,exponential,sgd,100,10,
7,scaled,0.3,exponential,sgd,100,10,
8,scaled,0.3,exponential,sgd,100,10,
9,scaled,0.3,exponential,sgd,100,10,
10,scaled,0.3,exponential,sgd,100,10,
11,scaled,0.3,exponential,sgd,100,10,
12,scaled,0.3,exponential,sgd,100,10,
1,scaled,0.3,elu,sgd,100,10,31.88827806
2,scaled,0.3,elu,sgd,100,10,32.90493719
3,scaled,0.3,elu,sgd,100,10,23.17908724
4,scaled,0.3,elu,sgd,100,10,24.52207405
5,scaled,0.3,elu,sgd,100,10,15.24708989
6,scaled,0.3,elu,sgd,100,10,15.36587846
7,scaled,0.3,elu,sgd,100,10,14.19097116
8,scaled,0.3,elu,sgd,100,10,14.09431562
9,scaled,0.3,elu,sgd,100,10,18.8196255
10,scaled,0.3,elu,sgd,100,10,15.44257573
11,scaled,0.3,elu,sgd,100,10,16.99103682
12,scaled,0.3,elu,sgd,100,10,14.89756961
1,scaled,0.3,linear,sgd,100,10,33.50818714
2,scaled,0.3,linear,sgd,100,10,34.4053685
3,scaled,0.3,linear,sgd,100,10,32.49862626
4,scaled,0.3,linear,sgd,100,10,37.01083565
5,scaled,0.3,linear,sgd,100,10,35.20929357
6,scaled,0.3,linear,sgd,100,10,123.4748812
7,scaled,0.3,linear,sgd,100,10,48.27151851
8,scaled,0.3,linear,sgd,100,10,44.33128156
9,scaled,0.3,linear,sgd,100,10,32.17610189
10,scaled,0.3,linear,sgd,100,10,37.45772121
11,scaled,0.3,linear,sgd,100,10,51.98123751
12,scaled,0.3,linear,sgd,100,10,28.36028706
1,scaled,0.3,relu,sgd,100,10,23.63177149
2,scaled,0.3,relu,sgd,100,10,28.55328751
3,scaled,0.3,relu,sgd,100,10,29.98351398
4,scaled,0.3,relu,sgd,100,10,18.46911739
5,scaled,0.3,relu,sgd,100,10,19.03289145
6,scaled,0.3,relu,sgd,100,10,18.92201173
7,scaled,0.3,relu,sgd,100,10,20.0139764
8,scaled,0.3,relu,sgd,100,10,38.87429418
9,scaled,0.3,relu,sgd,100,10,19.2809513
10,scaled,0.3,relu,sgd,100,10,17.85796657
11,scaled,0.3,relu,sgd,100,10,23.80232043
12,scaled,0.3,relu,sgd,100,10,14.42289355
1,scaled,0.3,tanh,sgd,100,10,22.99885659
2,scaled,0.3,tanh,sgd,100,10,25.25634469
3,scaled,0.3,tanh,sgd,100,10,24.76298337
4,scaled,0.3,tanh,sgd,100,10,21.50444711
5,scaled,0.3,tanh,sgd,100,10,13.59260863
6,scaled,0.3,tanh,sgd,100,10,14.08526667
7,scaled,0.3,tanh,sgd,100,10,17.31129654
8,scaled,0.3,tanh,sgd,100,10,15.98638128
9,scaled,0.3,tanh,sgd,100,10,15.25511571
10,scaled,0.3,tanh,sgd,100,10,15.62269542
11,scaled,0.3,tanh,sgd,100,10,12.09938137
12,scaled,0.3,tanh,sgd,100,10,10.86954277
1,scaled,0.3,sigmoid,sgd,100,10,27.90415342
2,scaled,0.3,sigmoid,sgd,100,10,24.45185435
3,scaled,0.3,sigmoid,sgd,100,10,21.89808948
4,scaled,0.3,sigmoid,sgd,100,10,20.76668288
5,scaled,0.3,sigmoid,sgd,100,10,16.25162985
6,scaled,0.3,sigmoid,sgd,100,10,17.42186704
7,scaled,0.3,sigmoid,sgd,100,10,15.70520229
8,scaled,0.3,sigmoid,sgd,100,10,17.6604877
9,scaled,0.3,sigmoid,sgd,100,10,15.37737628
10,scaled,0.3,sigmoid,sgd,100,10,16.99679997
11,scaled,0.3,sigmoid,sgd,100,10,14.74327761
12,scaled,0.3,sigmoid,sgd,100,10,14.16635142
1,scaled,0.3,exponential,sgd,100,10,25.27355566
2,scaled,0.3,exponential,sgd,100,10,
3,scaled,0.3,exponential,sgd,100,10,
4,scaled,0.3,exponential,sgd,100,10,
5,scaled,0.3,exponential,sgd,100,10,
6,scaled,0.3,exponential,sgd,100,10,
7,scaled,0.3,exponential,sgd,100,10,
8,scaled,0.3,exponential,sgd,100,10,
9,scaled,0.3,exponential,sgd,100,10,
10,scaled,0.3,exponential,sgd,100,10,
11,scaled,0.3,exponential,sgd,100,10,
12,scaled,0.3,exponential,sgd,100,10,
1,scaled,0.3,elu,sgd,100,10,30.87433213
2,scaled,0.3,elu,sgd,100,10,24.96130833
3,scaled,0.3,elu,sgd,100,10,27.51550218
4,scaled,0.3,elu,sgd,100,10,22.16474975
5,scaled,0.3,elu,sgd,100,10,16.71695677
6,scaled,0.3,elu,sgd,100,10,16.47291535
7,scaled,0.3,elu,sgd,100,10,18.24176357
8,scaled,0.3,elu,sgd,100,10,14.11238171
9,scaled,0.3,elu,sgd,100,10,15.91448764
10,scaled,0.3,elu,sgd,100,10,14.89158309
11,scaled,0.3,elu,sgd,100,10,16.55126336
12,scaled,0.3,elu,sgd,100,10,13.22840538
1,scaled,0.3,linear,sgd,100,10,59.50801307
2,scaled,0.3,linear,sgd,100,10,35.6650235
3,scaled,0.3,linear,sgd,100,10,31.02480035
4,scaled,0.3,linear,sgd,100,10,31.30726488
5,scaled,0.3,linear,sgd,100,10,32.56194265
6,scaled,0.3,linear,sgd,100,10,33.04137245
7,scaled,0.3,linear,sgd,100,10,36.82159655
8,scaled,0.3,linear,sgd,100,10,42.11963423
9,scaled,0.3,linear,sgd,100,10,30.28056441
10,scaled,0.3,linear,sgd,100,10,29.57358807
11,scaled,0.3,linear,sgd,100,10,42.1015616
12,scaled,0.3,linear,sgd,100,10,29.04906805
1,scaled,0.3,relu,adam,100,10,27.70279207
2,scaled,0.3,relu,adam,100,10,25.75132872
3,scaled,0.3,relu,adam,100,10,23.75881009
4,scaled,0.3,relu,adam,100,10,22.72964322
5,scaled,0.3,relu,adam,100,10,22.38536255
6,scaled,0.3,relu,adam,100,10,20.87323036
7,scaled,0.3,relu,adam,100,10,21.63185123
8,scaled,0.3,relu,adam,100,10,19.78470732
9,scaled,0.3,relu,adam,100,10,17.78883073
10,scaled,0.3,relu,adam,100,10,20.56807829
11,scaled,0.3,relu,adam,100,10,18.0090001
12,scaled,0.3,relu,adam,100,10,17.29482247
1,scaled,0.3,tanh,adam,100,10,33.53801015
2,scaled,0.3,tanh,adam,100,10,34.55858602
3,scaled,0.3,tanh,adam,100,10,31.89274376
4,scaled,0.3,tanh,adam,100,10,32.0176624
5,scaled,0.3,tanh,adam,100,10,30.57153566
6,scaled,0.3,tanh,adam,100,10,28.68980393
7,scaled,0.3,tanh,adam,100,10,28.3000683
8,scaled,0.3,tanh,adam,100,10,27.05456257
9,scaled,0.3,tanh,adam,100,10,26.25862423
10,scaled,0.3,tanh,adam,100,10,22.42714551
11,scaled,0.3,tanh,adam,100,10,23.94976566
12,scaled,0.3,tanh,adam,100,10,22.35431726
1,scaled,0.3,sigmoid,adam,100,10,35.05442318
2,scaled,0.3,sigmoid,adam,100,10,33.93700841
3,scaled,0.3,sigmoid,adam,100,10,32.27140432
4,scaled,0.3,sigmoid,adam,100,10,33.05823989
5,scaled,0.3,sigmoid,adam,100,10,33.47298908
6,scaled,0.3,sigmoid,adam,100,10,32.14308734
7,scaled,0.3,sigmoid,adam,100,10,32.00469765
8,scaled,0.3,sigmoid,adam,100,10,30.23885611
9,scaled,0.3,sigmoid,adam,100,10,31.5893249
10,scaled,0.3,sigmoid,adam,100,10,30.2730098
11,scaled,0.3,sigmoid,adam,100,10,29.29628447
12,scaled,0.3,sigmoid,adam,100,10,26.61399048
1,scaled,0.3,exponential,adam,100,10,25.89104472
2,scaled,0.3,exponential,adam,100,10,27.13778606
3,scaled,0.3,exponential,adam,100,10,25.54141291
4,scaled,0.3,exponential,adam,100,10,24.45658455
5,scaled,0.3,exponential,adam,100,10,20.96365259
6,scaled,0.3,exponential,adam,100,10,33.79942392
7,scaled,0.3,exponential,adam,100,10,23.57343714
8,scaled,0.3,exponential,adam,100,10,20.98381825
9,scaled,0.3,exponential,adam,100,10,23.07231547
10,scaled,0.3,exponential,adam,100,10,15.48542643
11,scaled,0.3,exponential,adam,100,10,22.69977951
12,scaled,0.3,exponential,adam,100,10,39.85115674
1,scaled,0.3,elu,adam,100,10,28.46029643
2,scaled,0.3,elu,adam,100,10,26.6218727
3,scaled,0.3,elu,adam,100,10,24.18816235
4,scaled,0.3,elu,adam,100,10,25.3995413
5,scaled,0.3,elu,adam,100,10,22.038361
6,scaled,0.3,elu,adam,100,10,20.69103093
7,scaled,0.3,elu,adam,100,10,22.89196893
8,scaled,0.3,elu,adam,100,10,25.0131586
9,scaled,0.3,elu,adam,100,10,24.91334539
10,scaled,0.3,elu,adam,100,10,18.93660365
11,scaled,0.3,elu,adam,100,10,20.87654611
12,scaled,0.3,elu,adam,100,10,17.59993377
1,scaled,0.3,linear,adam,100,10,31.89838701
2,scaled,0.3,linear,adam,100,10,34.88133691
3,scaled,0.3,linear,adam,100,10,31.45799622
4,scaled,0.3,linear,adam,100,10,31.82706968
5,scaled,0.3,linear,adam,100,10,31.82311209
6,scaled,0.3,linear,adam,100,10,31.72466439
7,scaled,0.3,linear,adam,100,10,31.37408794
8,scaled,0.3,linear,adam,100,10,29.70727476
9,scaled,0.3,linear,adam,100,10,29.02684663
10,scaled,0.3,linear,adam,100,10,29.29672236
11,scaled,0.3,linear,adam,100,10,29.10434055
12,scaled,0.3,linear,adam,100,10,26.36691304
1,scaled,0.3,relu,adam,100,10,26.49757792
2,scaled,0.3,relu,adam,100,10,26.07348271
3,scaled,0.3,relu,adam,100,10,23.69000811
4,scaled,0.3,relu,adam,100,10,24.10993315
5,scaled,0.3,relu,adam,100,10,21.8481115
6,scaled,0.3,relu,adam,100,10,20.12483388
7,scaled,0.3,relu,adam,100,10,20.76500189
8,scaled,0.3,relu,adam,100,10,19.62082662
9,scaled,0.3,relu,adam,100,10,19.32040353
10,scaled,0.3,relu,adam,100,10,19.30100348
11,scaled,0.3,relu,adam,100,10,18.58593926
12,scaled,0.3,relu,adam,100,10,14.92510191
1,scaled,0.3,tanh,adam,100,10,33.27624783
2,scaled,0.3,tanh,adam,100,10,34.20140377
3,scaled,0.3,tanh,adam,100,10,32.41680908
4,scaled,0.3,tanh,adam,100,10,31.44450675
5,scaled,0.3,tanh,adam,100,10,30.31696847
6,scaled,0.3,tanh,adam,100,10,28.5467582
7,scaled,0.3,tanh,adam,100,10,28.17636113
8,scaled,0.3,tanh,adam,100,10,25.59304032
9,scaled,0.3,tanh,adam,100,10,23.91745151
10,scaled,0.3,tanh,adam,100,10,24.61605107
11,scaled,0.3,tanh,adam,100,10,23.27989719
12,scaled,0.3,tanh,adam,100,10,22.7789926
1,scaled,0.3,sigmoid,adam,100,10,35.44550434
2,scaled,0.3,sigmoid,adam,100,10,34.22190967
3,scaled,0.3,sigmoid,adam,100,10,32.54468963
4,scaled,0.3,sigmoid,adam,100,10,32.66130392
5,scaled,0.3,sigmoid,adam,100,10,33.03740647
6,scaled,0.3,sigmoid,adam,100,10,32.24459538
7,scaled,0.3,sigmoid,adam,100,10,32.3306692
8,scaled,0.3,sigmoid,adam,100,10,30.28023549
9,scaled,0.3,sigmoid,adam,100,10,29.60791156
10,scaled,0.3,sigmoid,adam,100,10,30.36090133
11,scaled,0.3,sigmoid,adam,100,10,29.50737386
12,scaled,0.3,sigmoid,adam,100,10,26.20104027
1,scaled,0.3,exponential,adam,100,10,25.64558421
2,scaled,0.3,exponential,adam,100,10,26.93456243
3,scaled,0.3,exponential,adam,100,10,25.4010327
4,scaled,0.3,exponential,adam,100,10,25.11528379
5,scaled,0.3,exponential,adam,100,10,22.06069939
6,scaled,0.3,exponential,adam,100,10,27.14448083
7,scaled,0.3,exponential,adam,100,10,23.37244215
8,scaled,0.3,exponential,adam,100,10,43.94741239
9,scaled,0.3,exponential,adam,100,10,21.12569146
10,scaled,0.3,exponential,adam,100,10,43.26668268
11,scaled,0.3,exponential,adam,100,10,19.96497019
12,scaled,0.3,exponential,adam,100,10,26.85773669
1,scaled,0.3,elu,adam,100,10,28.24946273
2,scaled,0.3,elu,adam,100,10,30.23219174
3,scaled,0.3,elu,adam,100,10,26.20540729
4,scaled,0.3,elu,adam,100,10,28.04157503
5,scaled,0.3,elu,adam,100,10,28.11010903
6,scaled,0.3,elu,adam,100,10,23.80759944
7,scaled,0.3,elu,adam,100,10,22.615579
8,scaled,0.3,elu,adam,100,10,20.96820088
9,scaled,0.3,elu,adam,100,10,22.2053317
10,scaled,0.3,elu,adam,100,10,21.24773512
11,scaled,0.3,elu,adam,100,10,24.08087314
12,scaled,0.3,elu,adam,100,10,18.32759541
1,scaled,0.3,linear,adam,100,10,31.8463704
2,scaled,0.3,linear,adam,100,10,34.71389479
3,scaled,0.3,linear,adam,100,10,31.36942467
4,scaled,0.3,linear,adam,100,10,31.46543041
5,scaled,0.3,linear,adam,100,10,32.06727826
6,scaled,0.3,linear,adam,100,10,31.86918364
7,scaled,0.3,linear,adam,100,10,31.90438848
8,scaled,0.3,linear,adam,100,10,29.81188059
9,scaled,0.3,linear,adam,100,10,29.16366211
10,scaled,0.3,linear,adam,100,10,29.51580555
11,scaled,0.3,linear,adam,100,10,29.31196393
12,scaled,0.3,linear,adam,100,10,26.12260128
1,scaled,0.3,relu,adam,100,10,27.72990317
2,scaled,0.3,relu,adam,100,10,26.52928398
3,scaled,0.3,relu,adam,100,10,23.02216465
4,scaled,0.3,relu,adam,100,10,23.54930175
5,scaled,0.3,relu,adam,100,10,20.12720863
6,scaled,0.3,relu,adam,100,10,22.31705091
7,scaled,0.3,relu,adam,100,10,20.43569305
8,scaled,0.3,relu,adam,100,10,19.68697114
9,scaled,0.3,relu,adam,100,10,19.1200368
10,scaled,0.3,relu,adam,100,10,17.53292967
11,scaled,0.3,relu,adam,100,10,18.94062374
12,scaled,0.3,relu,adam,100,10,16.57083845
1,scaled,0.3,tanh,adam,100,10,35.09351981
2,scaled,0.3,tanh,adam,100,10,34.88145688
3,scaled,0.3,tanh,adam,100,10,32.26717452
4,scaled,0.3,tanh,adam,100,10,32.20174272
5,scaled,0.3,tanh,adam,100,10,30.26510695
6,scaled,0.3,tanh,adam,100,10,28.97107832
7,scaled,0.3,tanh,adam,100,10,26.52602929
8,scaled,0.3,tanh,adam,100,10,25.08625497
9,scaled,0.3,tanh,adam,100,10,23.89998521
10,scaled,0.3,tanh,adam,100,10,22.97641709
11,scaled,0.3,tanh,adam,100,10,22.6327339
12,scaled,0.3,tanh,adam,100,10,23.20047082
1,scaled,0.3,sigmoid,adam,100,10,35.16650421
2,scaled,0.3,sigmoid,adam,100,10,34.00580888
3,scaled,0.3,sigmoid,adam,100,10,32.75818644
4,scaled,0.3,sigmoid,adam,100,10,32.24655397
5,scaled,0.3,sigmoid,adam,100,10,33.36838657
6,scaled,0.3,sigmoid,adam,100,10,32.50041013
7,scaled,0.3,sigmoid,adam,100,10,32.10524228
8,scaled,0.3,sigmoid,adam,100,10,30.82773751
9,scaled,0.3,sigmoid,adam,100,10,29.53547804
10,scaled,0.3,sigmoid,adam,100,10,30.91487016
11,scaled,0.3,sigmoid,adam,100,10,29.02665891
12,scaled,0.3,sigmoid,adam,100,10,26.64098519
1,scaled,0.3,exponential,adam,100,10,25.88350035
2,scaled,0.3,exponential,adam,100,10,26.54098235
3,scaled,0.3,exponential,adam,100,10,24.00190087
4,scaled,0.3,exponential,adam,100,10,21.66222751
5,scaled,0.3,exponential,adam,100,10,19.46282515
6,scaled,0.3,exponential,adam,100,10,19.0085909
7,scaled,0.3,exponential,adam,100,10,22.93146505
8,scaled,0.3,exponential,adam,100,10,40.8891201
9,scaled,0.3,exponential,adam,100,10,42.76844346
10,scaled,0.3,exponential,adam,100,10,16.37209292
11,scaled,0.3,exponential,adam,100,10,27.11469219
12,scaled,0.3,exponential,adam,100,10,14.88815672
1,scaled,0.3,elu,adam,100,10,28.11919047
2,scaled,0.3,elu,adam,100,10,29.72865356
3,scaled,0.3,elu,adam,100,10,27.78773172
4,scaled,0.3,elu,adam,100,10,25.89583387
5,scaled,0.3,elu,adam,100,10,20.35390234
6,scaled,0.3,elu,adam,100,10,22.11279036
7,scaled,0.3,elu,adam,100,10,22.27702224
8,scaled,0.3,elu,adam,100,10,19.41904088
9,scaled,0.3,elu,adam,100,10,21.27613916
10,scaled,0.3,elu,adam,100,10,21.07680752
11,scaled,0.3,elu,adam,100,10,20.96685249
12,scaled,0.3,elu,adam,100,10,17.88991225
1,scaled,0.3,linear,adam,100,10,31.99635857
2,scaled,0.3,linear,adam,100,10,34.79940073
3,scaled,0.3,linear,adam,100,10,31.32786681
4,scaled,0.3,linear,adam,100,10,31.64704468
5,scaled,0.3,linear,adam,100,10,32.13230499
6,scaled,0.3,linear,adam,100,10,31.92580208
7,scaled,0.3,linear,adam,100,10,31.58615162
8,scaled,0.3,linear,adam,100,10,29.78338342
9,scaled,0.3,linear,adam,100,10,28.94695232
10,scaled,0.3,linear,adam,100,10,29.06478144
11,scaled,0.3,linear,adam,100,10,29.30029593
12,scaled,0.3,linear,adam,100,10,26.13997048
1,scaled,0.3,relu,nadam,100,10,26.7120146
2,scaled,0.3,relu,nadam,100,10,25.93292954
3,scaled,0.3,relu,nadam,100,10,22.7667731
4,scaled,0.3,relu,nadam,100,10,22.93234923
5,scaled,0.3,relu,nadam,100,10,19.60981688
6,scaled,0.3,relu,nadam,100,10,18.52110509
7,scaled,0.3,relu,nadam,100,10,21.04189449
8,scaled,0.3,relu,nadam,100,10,17.95400406
9,scaled,0.3,relu,nadam,100,10,16.89258698
10,scaled,0.3,relu,nadam,100,10,14.96175374
11,scaled,0.3,relu,nadam,100,10,15.8772039
12,scaled,0.3,relu,nadam,100,10,13.29087958
1,scaled,0.3,tanh,nadam,100,10,27.88651035
2,scaled,0.3,tanh,nadam,100,10,27.20908371
3,scaled,0.3,tanh,nadam,100,10,25.77208138
4,scaled,0.3,tanh,nadam,100,10,25.05294348
5,scaled,0.3,tanh,nadam,100,10,24.63736399
6,scaled,0.3,tanh,nadam,100,10,23.42463885
7,scaled,0.3,tanh,nadam,100,10,20.32747505
8,scaled,0.3,tanh,nadam,100,10,17.13186871
9,scaled,0.3,tanh,nadam,100,10,16.45797338
10,scaled,0.3,tanh,nadam,100,10,17.1558228
11,scaled,0.3,tanh,nadam,100,10,16.69068402
12,scaled,0.3,tanh,nadam,100,10,15.67086998
1,scaled,0.3,sigmoid,nadam,100,10,29.51110619
2,scaled,0.3,sigmoid,nadam,100,10,29.87782785
3,scaled,0.3,sigmoid,nadam,100,10,25.80760549
4,scaled,0.3,sigmoid,nadam,100,10,25.65980495
5,scaled,0.3,sigmoid,nadam,100,10,26.85959911
6,scaled,0.3,sigmoid,nadam,100,10,24.61944435
7,scaled,0.3,sigmoid,nadam,100,10,24.79408344
8,scaled,0.3,sigmoid,nadam,100,10,22.67892428
9,scaled,0.3,sigmoid,nadam,100,10,22.72136691
10,scaled,0.3,sigmoid,nadam,100,10,21.88047489
11,scaled,0.3,sigmoid,nadam,100,10,22.84843319
12,scaled,0.3,sigmoid,nadam,100,10,19.85523633
1,scaled,0.3,exponential,nadam,100,10,25.90212561
2,scaled,0.3,exponential,nadam,100,10,26.42509767
3,scaled,0.3,exponential,nadam,100,10,23.53823075
4,scaled,0.3,exponential,nadam,100,10,21.13299076
5,scaled,0.3,exponential,nadam,100,10,17.82463119
6,scaled,0.3,exponential,nadam,100,10,17.6823537
7,scaled,0.3,exponential,nadam,100,10,24.04464546
8,scaled,0.3,exponential,nadam,100,10,26.44692863
9,scaled,0.3,exponential,nadam,100,10,22.68452024
10,scaled,0.3,exponential,nadam,100,10,15.70803364
11,scaled,0.3,exponential,nadam,100,10,18.18054852
12,scaled,0.3,exponential,nadam,100,10,12.74968895
1,scaled,0.3,elu,nadam,100,10,27.68574057
2,scaled,0.3,elu,nadam,100,10,26.64303433
3,scaled,0.3,elu,nadam,100,10,22.62483941
4,scaled,0.3,elu,nadam,100,10,22.20745679
5,scaled,0.3,elu,nadam,100,10,20.68203783
6,scaled,0.3,elu,nadam,100,10,22.06738201
7,scaled,0.3,elu,nadam,100,10,19.71911307
8,scaled,0.3,elu,nadam,100,10,15.95354775
9,scaled,0.3,elu,nadam,100,10,17.27179324
10,scaled,0.3,elu,nadam,100,10,15.50975471
11,scaled,0.3,elu,nadam,100,10,15.69108102
12,scaled,0.3,elu,nadam,100,10,14.57053814
1,scaled,0.3,linear,nadam,100,10,31.89307725
2,scaled,0.3,linear,nadam,100,10,34.68288311
3,scaled,0.3,linear,nadam,100,10,31.51361762
4,scaled,0.3,linear,nadam,100,10,31.15063035
5,scaled,0.3,linear,nadam,100,10,32.03581253
6,scaled,0.3,linear,nadam,100,10,32.05536888
7,scaled,0.3,linear,nadam,100,10,31.73139913
8,scaled,0.3,linear,nadam,100,10,29.88622136
9,scaled,0.3,linear,nadam,100,10,29.1486709
10,scaled,0.3,linear,nadam,100,10,29.49336258
11,scaled,0.3,linear,nadam,100,10,29.22530229
12,scaled,0.3,linear,nadam,100,10,25.97248519
1,scaled,0.3,relu,nadam,100,10,27.09698782
2,scaled,0.3,relu,nadam,100,10,26.0010898
3,scaled,0.3,relu,nadam,100,10,23.22571519
4,scaled,0.3,relu,nadam,100,10,22.30296403
5,scaled,0.3,relu,nadam,100,10,20.64060174
6,scaled,0.3,relu,nadam,100,10,18.87134261
7,scaled,0.3,relu,nadam,100,10,18.3407252
8,scaled,0.3,relu,nadam,100,10,17.98418159
9,scaled,0.3,relu,nadam,100,10,14.98481195
10,scaled,0.3,relu,nadam,100,10,16.08556991
11,scaled,0.3,relu,nadam,100,10,14.22240398
12,scaled,0.3,relu,nadam,100,10,14.17755069
1,scaled,0.3,tanh,nadam,100,10,28.15939627
2,scaled,0.3,tanh,nadam,100,10,28.82904193
3,scaled,0.3,tanh,nadam,100,10,24.74029411
4,scaled,0.3,tanh,nadam,100,10,26.09191754
5,scaled,0.3,tanh,nadam,100,10,25.44994856
6,scaled,0.3,tanh,nadam,100,10,22.19896261
7,scaled,0.3,tanh,nadam,100,10,20.65919841
8,scaled,0.3,tanh,nadam,100,10,16.62211775
9,scaled,0.3,tanh,nadam,100,10,15.83285806
10,scaled,0.3,tanh,nadam,100,10,18.09845136
11,scaled,0.3,tanh,nadam,100,10,16.54311351
12,scaled,0.3,tanh,nadam,100,10,16.29156394
1,scaled,0.3,sigmoid,nadam,100,10,29.79641126
2,scaled,0.3,sigmoid,nadam,100,10,28.09290208
