no_attrib,scaling,test_size,activation,optimiser,no_epochs,batch_size,loss
6,False,0.3,elu,nadam,100,10,11.416415992536043
7,False,0.3,elu,nadam,100,10,9.37557305787739
8,False,0.3,elu,nadam,100,10,15.782637847097297
9,False,0.3,elu,nadam,100,10,16.70348132284064
10,False,0.3,elu,nadam,100,10,11.30209503675762
11,False,0.3,elu,nadam,100,10,12.861312966597708
1,False,0.3,linear,nadam,100,10,38.43679252423738
2,False,0.3,linear,nadam,100,10,30.725331155877363
3,False,0.3,linear,nadam,100,10,24.791226939151162
4,False,0.3,linear,nadam,100,10,27.30812604803788
5,False,0.3,linear,nadam,100,10,27.902203409295332
6,False,0.3,linear,nadam,100,10,34.95905946430407
7,False,0.3,linear,nadam,100,10,33.426495803029916
8,False,0.3,linear,nadam,100,10,27.404319562410052
9,False,0.3,linear,nadam,100,10,21.255873278567666
10,False,0.3,linear,nadam,100,10,28.904876508210833
11,False,0.3,linear,nadam,100,10,19.55594243501362
1,False,0.3,relu,sgd,100,10,48.98527205617804
2,False,0.3,relu,sgd,100,10,27.527659366005345
3,False,0.3,relu,sgd,100,10,73.41984899420487
4,False,0.3,relu,sgd,100,10,23.2539926830091
5,False,0.3,relu,sgd,100,10,9.804587916324014
6,False,0.3,relu,sgd,100,10,23.14751484519557
7,False,0.3,relu,sgd,100,10,11.943988699662057
8,False,0.3,relu,sgd,100,10,15.446267880891499
9,False,0.3,relu,sgd,100,10,10.321278923436216
10,False,0.3,relu,sgd,100,10,13.807753864087557
11,False,0.3,relu,sgd,100,10,13.610030149158678
1,False,0.3,tanh,sgd,100,10,29.40943938807437
2,False,0.3,tanh,sgd,100,10,14.833296524850946
3,False,0.3,tanh,sgd,100,10,13.294807534468802
4,False,0.3,tanh,sgd,100,10,17.69672845539294
5,False,0.3,tanh,sgd,100,10,24.079791420384456
6,False,0.3,tanh,sgd,100,10,13.580674773768374
7,False,0.3,tanh,sgd,100,10,14.729045667146382
8,False,0.3,tanh,sgd,100,10,16.362593299464177
9,False,0.3,tanh,sgd,100,10,19.317762174104388
10,False,0.3,tanh,sgd,100,10,14.325111840900622
11,False,0.3,tanh,sgd,100,10,10.59778860995644
1,False,0.3,sigmoid,sgd,100,10,21.26731420818128
2,False,0.3,sigmoid,sgd,100,10,24.074812261681807
3,False,0.3,sigmoid,sgd,100,10,18.044619108501234
4,False,0.3,sigmoid,sgd,100,10,24.174215417159232
5,False,0.3,sigmoid,sgd,100,10,10.890854233189634
6,False,0.3,sigmoid,sgd,100,10,17.090164134376927
7,False,0.3,sigmoid,sgd,100,10,14.276955203006143
8,False,0.3,sigmoid,sgd,100,10,12.418428119860197
9,False,0.3,sigmoid,sgd,100,10,10.657657548000937
10,False,0.3,sigmoid,sgd,100,10,10.206815468637567
11,False,0.3,sigmoid,sgd,100,10,8.657050760168778
1,False,0.3,exponential,sgd,100,10,24.890322936208623
2,False,0.3,exponential,sgd,100,10,
3,False,0.3,exponential,sgd,100,10,
4,False,0.3,exponential,sgd,100,10,
5,False,0.3,exponential,sgd,100,10,
6,False,0.3,exponential,sgd,100,10,
7,False,0.3,exponential,sgd,100,10,
8,False,0.3,exponential,sgd,100,10,
9,False,0.3,exponential,sgd,100,10,
10,False,0.3,exponential,sgd,100,10,
11,False,0.3,exponential,sgd,100,10,
1,False,0.3,elu,sgd,100,10,29.307377865439967
2,False,0.3,elu,sgd,100,10,23.104009302038897
3,False,0.3,elu,sgd,100,10,17.292526295310573
4,False,0.3,elu,sgd,100,10,23.237965232447575
5,False,0.3,elu,sgd,100,10,31.450498580932617
6,False,0.3,elu,sgd,100,10,10.21751614620811
7,False,0.3,elu,sgd,100,10,18.21234211168791
8,False,0.3,elu,sgd,100,10,15.342277125308389
9,False,0.3,elu,sgd,100,10,24.067759062114515
10,False,0.3,elu,sgd,100,10,19.908090591430664
11,False,0.3,elu,sgd,100,10,11.67353700336657
1,False,0.3,linear,sgd,100,10,36.71699995743601
2,False,0.3,linear,sgd,100,10,34.13797699777704
3,False,0.3,linear,sgd,100,10,33.614248978464225
4,False,0.3,linear,sgd,100,10,21.330623325548675
5,False,0.3,linear,sgd,100,10,28.740757239492314
6,False,0.3,linear,sgd,100,10,62.125466196160566
7,False,0.3,linear,sgd,100,10,19.14588617023669
8,False,0.3,linear,sgd,100,10,35.80622582686575
9,False,0.3,linear,sgd,100,10,24.52445411682129
10,False,0.3,linear,sgd,100,10,33.14008401569567
11,False,0.3,linear,sgd,100,10,33.472823544552455
1,True,0.3,relu,nadam,100,10,42.89150217959755
2,True,0.3,relu,nadam,100,10,20.20257061406186
3,True,0.3,relu,nadam,100,10,32.60180940126118
4,True,0.3,relu,nadam,100,10,18.49415487992136
5,True,0.3,relu,nadam,100,10,27.457857433118317
6,True,0.3,relu,nadam,100,10,20.650572726601048
7,True,0.3,relu,nadam,100,10,26.071468052111175
8,True,0.3,relu,nadam,100,10,16.938600941708213
9,True,0.3,relu,nadam,100,10,23.635476865266497
10,True,0.3,relu,nadam,100,10,26.054198265075684
11,True,0.3,relu,nadam,100,10,49.85190722816869
1,True,0.3,tanh,nadam,100,10,80.327046243768
2,True,0.3,tanh,nadam,100,10,24.90133998268529
3,True,0.3,tanh,nadam,100,10,30.094898324263724
4,True,0.3,tanh,nadam,100,10,20.079156975997122
5,True,0.3,tanh,nadam,100,10,39.08966727005808
6,True,0.3,tanh,nadam,100,10,40.6989083541067
7,True,0.3,tanh,nadam,100,10,83.82155087119655
8,True,0.3,tanh,nadam,100,10,34.78853265862716
9,True,0.3,tanh,nadam,100,10,46.84273428665964
10,True,0.3,tanh,nadam,100,10,82.47931149131374
11,True,0.3,tanh,nadam,100,10,86.8641212864926
1,True,0.3,sigmoid,nadam,100,10,33.59290112947163
2,True,0.3,sigmoid,nadam,100,10,26.64307403564453
3,True,0.3,sigmoid,nadam,100,10,24.22722023411801
4,True,0.3,sigmoid,nadam,100,10,22.210102081298828
5,True,0.3,sigmoid,nadam,100,10,53.53955188550447
6,True,0.3,sigmoid,nadam,100,10,80.06617134495785
7,True,0.3,sigmoid,nadam,100,10,45.68889738384046
8,True,0.3,sigmoid,nadam,100,10,78.55472002531353
9,True,0.3,sigmoid,nadam,100,10,87.41719055175781
10,True,0.3,sigmoid,nadam,100,10,49.0250802291067
11,True,0.3,sigmoid,nadam,100,10,50.08526551096063
1,True,0.3,exponential,nadam,100,10,396130.2115542763
2,True,0.3,exponential,nadam,100,10,9006216478.31579
3,True,0.3,exponential,nadam,100,10,215818281013.89474
4,True,0.3,exponential,nadam,100,10,285363066556.6316
5,True,0.3,exponential,nadam,100,10,
6,True,0.3,exponential,nadam,100,10,
7,True,0.3,exponential,nadam,100,10,
8,True,0.3,exponential,nadam,100,10,
9,True,0.3,exponential,nadam,100,10,
10,True,0.3,exponential,nadam,100,10,
11,True,0.3,exponential,nadam,100,10,
1,True,0.3,elu,nadam,100,10,24.721546474256012
2,True,0.3,elu,nadam,100,10,23.744915811639082
3,True,0.3,elu,nadam,100,10,21.71333599090576
4,True,0.3,elu,nadam,100,10,17.333400977285283
5,True,0.3,elu,nadam,100,10,25.77639931126645
6,True,0.3,elu,nadam,100,10,26.491369749370374
7,True,0.3,elu,nadam,100,10,25.780850962588662
8,True,0.3,elu,nadam,100,10,30.50600764625951
9,True,0.3,elu,nadam,100,10,23.234622051841335
10,True,0.3,elu,nadam,100,10,16.944652456986276
11,True,0.3,elu,nadam,100,10,30.442805942736175
1,True,0.3,linear,nadam,100,10,42.08679761384663
2,True,0.3,linear,nadam,100,10,26.518158360531455
3,True,0.3,linear,nadam,100,10,31.96297008112857
4,True,0.3,linear,nadam,100,10,21.183509425113076
5,True,0.3,linear,nadam,100,10,44.084062676680716
6,True,0.3,linear,nadam,100,10,37.44744863008198
7,True,0.3,linear,nadam,100,10,41.57594078465512
8,True,0.3,linear,nadam,100,10,27.5960424322831
9,True,0.3,linear,nadam,100,10,55.377675106650905
10,True,0.3,linear,nadam,100,10,38.93431522971705
11,True,0.3,linear,nadam,100,10,42.09895826640882
1,True,0.3,relu,adam,100,10,39.2377670689633
2,True,0.3,relu,adam,100,10,26.555880044635973
3,True,0.3,relu,adam,100,10,20.32148772791812
4,True,0.3,relu,adam,100,10,21.32559545416581
5,True,0.3,relu,adam,100,10,29.312247627659847
6,True,0.3,relu,adam,100,10,33.86450757478413
7,True,0.3,relu,adam,100,10,42.52577109085886
8,True,0.3,relu,adam,100,10,28.058458930567692
9,True,0.3,relu,adam,100,10,28.20606934396844
10,True,0.3,relu,adam,100,10,29.74266373483758
11,True,0.3,relu,adam,100,10,32.530204471788906
1,True,0.3,tanh,adam,100,10,79.08650267751594
2,True,0.3,tanh,adam,100,10,40.15823043020148
3,True,0.3,tanh,adam,100,10,18.296356502332184
4,True,0.3,tanh,adam,100,10,48.4352055599815
5,True,0.3,tanh,adam,100,10,58.65962721172132
6,True,0.3,tanh,adam,100,10,106.05845682244552
7,True,0.3,tanh,adam,100,10,31.830322516591924
8,True,0.3,tanh,adam,100,10,61.55084469443873
9,True,0.3,tanh,adam,100,10,67.63439258776214
10,True,0.3,tanh,adam,100,10,58.81913526434647
11,True,0.3,tanh,adam,100,10,72.71628831562244
1,True,0.3,sigmoid,adam,100,10,33.7671618210642
2,True,0.3,sigmoid,adam,100,10,44.96465652867367
3,True,0.3,sigmoid,adam,100,10,27.852561147589434
4,True,0.3,sigmoid,adam,100,10,34.104615813807435
5,True,0.3,sigmoid,adam,100,10,95.34361829255757
6,True,0.3,sigmoid,adam,100,10,74.68605844598068
7,True,0.3,sigmoid,adam,100,10,48.775990536338405
8,True,0.3,sigmoid,adam,100,10,54.28193508951288
9,True,0.3,sigmoid,adam,100,10,104.67997862163342
10,True,0.3,sigmoid,adam,100,10,73.56324647602283
11,True,0.3,sigmoid,adam,100,10,68.40208334671824
1,True,0.3,exponential,adam,100,10,38599688.28556743
2,True,0.3,exponential,adam,100,10,61671983.75
3,True,0.3,exponential,adam,100,10,517473123.3684211
4,True,0.3,exponential,adam,100,10,
5,True,0.3,exponential,adam,100,10,
6,True,0.3,exponential,adam,100,10,
7,True,0.3,exponential,adam,100,10,
8,True,0.3,exponential,adam,100,10,
9,True,0.3,exponential,adam,100,10,
10,True,0.3,exponential,adam,100,10,
11,True,0.3,exponential,adam,100,10,
1,True,0.3,elu,adam,100,10,29.027688277395146
2,True,0.3,elu,adam,100,10,26.654095900686162
3,True,0.3,elu,adam,100,10,17.403310775756836
4,True,0.3,elu,adam,100,10,21.77030412774337
5,True,0.3,elu,adam,100,10,23.214601516723633
6,True,0.3,elu,adam,100,10,21.14174240513852
7,True,0.3,elu,adam,100,10,15.562077572471217
8,True,0.3,elu,adam,100,10,26.901378681785182
9,True,0.3,elu,adam,100,10,35.36037515339098
10,True,0.3,elu,adam,100,10,31.36856279875103
11,True,0.3,elu,adam,100,10,29.239421944869193
1,True,0.3,linear,adam,100,10,45.86698411640368
2,True,0.3,linear,adam,100,10,21.38159892433568
3,True,0.3,linear,adam,100,10,40.05579175447163
4,True,0.3,linear,adam,100,10,34.47583519785028
5,True,0.3,linear,adam,100,10,27.17733563874897
6,True,0.3,linear,adam,100,10,34.575464951364616
7,True,0.3,linear,adam,100,10,42.607137981214024
8,True,0.3,linear,adam,100,10,26.75636843631142
9,True,0.3,linear,adam,100,10,20.772666931152344
10,True,0.3,linear,adam,100,10,34.10727992810701
11,True,0.3,linear,adam,100,10,33.63910654971474
1,True,0.3,relu,sgd,100,10,88.89398956298828
2,True,0.3,relu,sgd,100,10,71.6858243440327
3,True,0.3,relu,sgd,100,10,87.31551642166941
4,True,0.3,relu,sgd,100,10,63.86247253417969
5,True,0.3,relu,sgd,100,10,84.93242404335423
6,True,0.3,relu,sgd,100,10,71.7270871212608
7,True,0.3,relu,sgd,100,10,66.52941934685958
8,True,0.3,relu,sgd,100,10,76.56641026547081
9,True,0.3,relu,sgd,100,10,78.56695074784129
10,True,0.3,relu,sgd,100,10,
11,True,0.3,relu,sgd,100,10,
1,True,0.3,tanh,sgd,100,10,97.99454658909848
2,True,0.3,tanh,sgd,100,10,43.191389184249076
3,True,0.3,tanh,sgd,100,10,80.4810457731548
4,True,0.3,tanh,sgd,100,10,58.772932152999076
5,True,0.3,tanh,sgd,100,10,91.0213064896433
6,True,0.3,tanh,sgd,100,10,66.19699538381477
7,True,0.3,tanh,sgd,100,10,78.60053975958573
8,True,0.3,tanh,sgd,100,10,104.16061039974815
9,True,0.3,tanh,sgd,100,10,92.74257258365029
10,True,0.3,tanh,sgd,100,10,94.44779084858142
11,True,0.3,tanh,sgd,100,10,78.83648500944439
1,True,0.3,sigmoid,sgd,100,10,28.595283709074323
2,True,0.3,sigmoid,sgd,100,10,32.70983726099918
3,True,0.3,sigmoid,sgd,100,10,18.99813757444683
4,True,0.3,sigmoid,sgd,100,10,47.03602339092054
5,True,0.3,sigmoid,sgd,100,10,95.1179363853053
6,True,0.3,sigmoid,sgd,100,10,69.27068228470652
7,True,0.3,sigmoid,sgd,100,10,77.13177691007915
8,True,0.3,sigmoid,sgd,100,10,78.35391436125103
9,True,0.3,sigmoid,sgd,100,10,88.90622128938374
10,True,0.3,sigmoid,sgd,100,10,84.7559360704924
11,True,0.3,sigmoid,sgd,100,10,83.1576341327868
1,True,0.3,exponential,sgd,100,10,
2,True,0.3,exponential,sgd,100,10,
3,True,0.3,exponential,sgd,100,10,
4,True,0.3,exponential,sgd,100,10,
5,True,0.3,exponential,sgd,100,10,
6,True,0.3,exponential,sgd,100,10,
7,True,0.3,exponential,sgd,100,10,
8,True,0.3,exponential,sgd,100,10,
9,True,0.3,exponential,sgd,100,10,
10,True,0.3,exponential,sgd,100,10,
11,True,0.3,exponential,sgd,100,10,
1,True,0.3,elu,sgd,100,10,730306.5789473684
2,True,0.3,elu,sgd,100,10,108.80433875636051
3,True,0.3,elu,sgd,100,10,89.39934017783717
4,True,0.3,elu,sgd,100,10,
5,True,0.3,elu,sgd,100,10,2078827603213.4736
6,True,0.3,elu,sgd,100,10,4284511.2894736845
7,True,0.3,elu,sgd,100,10,3.571289652670169e+22
8,True,0.3,elu,sgd,100,10,77564963354.94737
9,True,0.3,elu,sgd,100,10,
10,True,0.3,elu,sgd,100,10,9.99252747775217e+24
11,True,0.3,elu,sgd,100,10,
1,True,0.3,linear,sgd,100,10,
2,True,0.3,linear,sgd,100,10,
3,True,0.3,linear,sgd,100,10,
4,True,0.3,linear,sgd,100,10,
5,True,0.3,linear,sgd,100,10,
6,True,0.3,linear,sgd,100,10,
7,True,0.3,linear,sgd,100,10,
8,True,0.3,linear,sgd,100,10,
9,True,0.3,linear,sgd,100,10,
10,True,0.3,linear,sgd,100,10,
11,True,0.3,linear,sgd,100,10,
1,False,0.3,relu,sgd,100,10,27.79007379632247
2,False,0.3,relu,sgd,100,10,21.630477704499896
3,False,0.3,relu,sgd,100,10,15.6849634270919
4,False,0.3,relu,sgd,100,10,19.908857144807513
5,False,0.3,relu,sgd,100,10,17.168017839130602
6,False,0.3,relu,sgd,100,10,20.201244053087738
7,False,0.3,relu,sgd,100,10,12.24225079385858
8,False,0.3,relu,sgd,100,10,19.65428768961053
9,False,0.3,relu,sgd,100,10,13.305708834999486
10,False,0.3,relu,sgd,100,10,14.6008065374274
11,False,0.3,relu,sgd,100,10,13.178629172475715
1,False,0.3,tanh,sgd,100,10,32.44765090942383
2,False,0.3,tanh,sgd,100,10,18.599669858029014
3,False,0.3,tanh,sgd,100,10,11.31919624930934
4,False,0.3,tanh,sgd,100,10,14.788368977998433
5,False,0.3,tanh,sgd,100,10,18.45779619718853
6,False,0.3,tanh,sgd,100,10,11.143114591899671
7,False,0.3,tanh,sgd,100,10,14.61286399238988
8,False,0.3,tanh,sgd,100,10,12.218257151151958
9,False,0.3,tanh,sgd,100,10,20.375750692267168
10,False,0.3,tanh,sgd,100,10,16.89396185623972
11,False,0.3,tanh,sgd,100,10,17.001164486533717
1,False,0.3,sigmoid,sgd,100,10,32.465302316766035
2,False,0.3,sigmoid,sgd,100,10,15.991775914242393
3,False,0.3,sigmoid,sgd,100,10,32.44395567241468
4,False,0.3,sigmoid,sgd,100,10,10.146079841412996
5,False,0.3,sigmoid,sgd,100,10,11.753431370383815
6,False,0.3,sigmoid,sgd,100,10,13.97657248848363
7,False,0.3,sigmoid,sgd,100,10,10.779243092787894
8,False,0.3,sigmoid,sgd,100,10,13.245101677744012
9,False,0.3,sigmoid,sgd,100,10,18.10141538318835
10,False,0.3,sigmoid,sgd,100,10,15.499570946944388
11,False,0.3,sigmoid,sgd,100,10,8.382594811288934
1,False,0.3,exponential,sgd,100,10,26.261010019402754
2,False,0.3,exponential,sgd,100,10,
3,False,0.3,exponential,sgd,100,10,
4,False,0.3,exponential,sgd,100,10,
5,False,0.3,exponential,sgd,100,10,
6,False,0.3,exponential,sgd,100,10,
7,False,0.3,exponential,sgd,100,10,
8,False,0.3,exponential,sgd,100,10,
9,False,0.3,exponential,sgd,100,10,
10,False,0.3,exponential,sgd,100,10,
11,False,0.3,exponential,sgd,100,10,
1,False,0.3,elu,sgd,100,10,27.043508630049857
2,False,0.3,elu,sgd,100,10,20.70425776431435
3,False,0.3,elu,sgd,100,10,19.506713816994115
4,False,0.3,elu,sgd,100,10,18.45651757089715
5,False,0.3,elu,sgd,100,10,30.44939512955515
6,False,0.3,elu,sgd,100,10,16.76882583216617
7,False,0.3,elu,sgd,100,10,17.85651919716283
8,False,0.3,elu,sgd,100,10,12.309678027504368
9,False,0.3,elu,sgd,100,10,13.539964776290091
10,False,0.3,elu,sgd,100,10,23.941525409096165
11,False,0.3,elu,sgd,100,10,13.449912974708958
1,False,0.3,linear,sgd,100,10,41.65793629696495
2,False,0.3,linear,sgd,100,10,31.43524782281173
3,False,0.3,linear,sgd,100,10,29.30221898932206
4,False,0.3,linear,sgd,100,10,37.022550884046055
5,False,0.3,linear,sgd,100,10,19.021943142539577
6,False,0.3,linear,sgd,100,10,29.00105737384997
7,False,0.3,linear,sgd,100,10,25.00098348918714
8,False,0.3,linear,sgd,100,10,24.761734510722913
9,False,0.3,linear,sgd,100,10,29.315958324231598
10,False,0.3,linear,sgd,100,10,29.576759237992135
11,False,0.3,linear,sgd,100,10,37.04733406869989
1,False,0.3,relu,adam,100,10,33.61843149285568
2,False,0.3,relu,adam,100,10,24.850392391807155
3,False,0.3,relu,adam,100,10,29.32397054371081
4,False,0.3,relu,adam,100,10,15.568912305329976
5,False,0.3,relu,adam,100,10,9.291601130836888
6,False,0.3,relu,adam,100,10,11.294491115369295
7,False,0.3,relu,adam,100,10,20.884950537430612
8,False,0.3,relu,adam,100,10,15.307381027623228
9,False,0.3,relu,adam,100,10,10.980901166012412
10,False,0.3,relu,adam,100,10,19.858211015400133
11,False,0.3,relu,adam,100,10,12.031937097248278
1,False,0.3,tanh,adam,100,10,29.274494171142578
2,False,0.3,tanh,adam,100,10,26.75885551854184
3,False,0.3,tanh,adam,100,10,24.534681972704437
4,False,0.3,tanh,adam,100,10,19.63809168966193
5,False,0.3,tanh,adam,100,10,25.219316582930716
6,False,0.3,tanh,adam,100,10,24.91740698563425
7,False,0.3,tanh,adam,100,10,19.60824449438798
8,False,0.3,tanh,adam,100,10,21.706991797999333
9,False,0.3,tanh,adam,100,10,15.34737381182219
10,False,0.3,tanh,adam,100,10,32.794270967182364
11,False,0.3,tanh,adam,100,10,16.365431685196725
1,False,0.3,sigmoid,adam,100,10,37.50049069053248
2,False,0.3,sigmoid,adam,100,10,24.484426799573395
3,False,0.3,sigmoid,adam,100,10,28.58014006363718
4,False,0.3,sigmoid,adam,100,10,24.72955994856985
5,False,0.3,sigmoid,adam,100,10,24.3128863886783
6,False,0.3,sigmoid,adam,100,10,17.874096418681898
7,False,0.3,sigmoid,adam,100,10,18.77944604974044
8,False,0.3,sigmoid,adam,100,10,21.632267650805023
9,False,0.3,sigmoid,adam,100,10,34.17735732229132
10,False,0.3,sigmoid,adam,100,10,23.564391487523128
11,False,0.3,sigmoid,adam,100,10,20.165609409934596
1,False,0.3,exponential,adam,100,10,24.914080971165706
2,False,0.3,exponential,adam,100,10,29.219402915553044
3,False,0.3,exponential,adam,100,10,20.80786785326506
4,False,0.3,exponential,adam,100,10,16.515722701424046
5,False,0.3,exponential,adam,100,10,11.047307064658717
6,False,0.3,exponential,adam,100,10,25.149753721136797
7,False,0.3,exponential,adam,100,10,44.66729026091726
8,False,0.3,exponential,adam,100,10,19.18062230160362
9,False,0.3,exponential,adam,100,10,15.521627401050768
10,False,0.3,exponential,adam,100,10,21.711558693333675
11,False,0.3,exponential,adam,100,10,8.784706617656507
1,False,0.3,elu,adam,100,10,42.17825718929893
2,False,0.3,elu,adam,100,10,20.177652911136025
3,False,0.3,elu,adam,100,10,22.3642544495432
4,False,0.3,elu,adam,100,10,20.771123333981162
5,False,0.3,elu,adam,100,10,13.201626175328306
6,False,0.3,elu,adam,100,10,11.820851677342466
7,False,0.3,elu,adam,100,10,13.171344932756925
8,False,0.3,elu,adam,100,10,13.652759752775493
9,False,0.3,elu,adam,100,10,12.577403419896177
10,False,0.3,elu,adam,100,10,11.16983760030646
11,False,0.3,elu,adam,100,10,12.235374852230674
1,False,0.3,linear,adam,100,10,37.16233855799625
2,False,0.3,linear,adam,100,10,28.050242072657536
3,False,0.3,linear,adam,100,10,36.33649454618755
4,False,0.3,linear,adam,100,10,26.128069827431126
5,False,0.3,linear,adam,100,10,31.263509047658818
