no_attrib,scaling,test_size,activation,optimiser,no_epochs,batch_size,loss
1,True,0.3,relu,sgd,100,10,73.81496308979236
2,True,0.3,relu,sgd,100,10,94.7504718178197
3,True,0.3,relu,sgd,100,10,85.92964774683902
4,True,0.3,relu,sgd,100,10,102.05880054674651
5,True,0.3,relu,sgd,100,10,86.62952945106908
6,True,0.3,relu,sgd,100,10,83.29485300967568
7,True,0.3,relu,sgd,100,10,89.29258768182052
8,True,0.3,relu,sgd,100,10,76.26067733764648
9,True,0.3,relu,sgd,100,10,
10,True,0.3,relu,sgd,100,10,92.39975618061267
11,True,0.3,relu,sgd,100,10,
1,True,0.3,tanh,sgd,100,10,72.85044820685135
2,True,0.3,tanh,sgd,100,10,101.07831894723992
3,True,0.3,tanh,sgd,100,10,51.61159836618524
4,True,0.3,tanh,sgd,100,10,106.01220743279708
5,True,0.3,tanh,sgd,100,10,87.31028506630345
6,True,0.3,tanh,sgd,100,10,77.33293392783717
7,True,0.3,tanh,sgd,100,10,73.66295182077508
8,True,0.3,tanh,sgd,100,10,81.65646362304688
9,True,0.3,tanh,sgd,100,10,91.85198010896382
10,True,0.3,tanh,sgd,100,10,98.12956117328845
11,True,0.3,tanh,sgd,100,10,91.19701265033923
1,True,0.3,sigmoid,sgd,100,10,96.02049054597553
2,True,0.3,sigmoid,sgd,100,10,33.523018284847865
3,True,0.3,sigmoid,sgd,100,10,26.528382953844574
4,True,0.3,sigmoid,sgd,100,10,20.390430751599762
5,True,0.3,sigmoid,sgd,100,10,91.32065762971577
6,True,0.3,sigmoid,sgd,100,10,85.79386078683953
7,True,0.3,sigmoid,sgd,100,10,88.09586374383224
8,True,0.3,sigmoid,sgd,100,10,91.81906529476768
9,True,0.3,sigmoid,sgd,100,10,87.57584059865852
10,True,0.3,sigmoid,sgd,100,10,80.50170978746917
11,True,0.3,sigmoid,sgd,100,10,85.2112966838636
1,True,0.3,exponential,sgd,100,10,
2,True,0.3,exponential,sgd,100,10,
3,True,0.3,exponential,sgd,100,10,
4,True,0.3,exponential,sgd,100,10,
5,True,0.3,exponential,sgd,100,10,
6,True,0.3,exponential,sgd,100,10,
7,True,0.3,exponential,sgd,100,10,
8,True,0.3,exponential,sgd,100,10,
9,True,0.3,exponential,sgd,100,10,
10,True,0.3,exponential,sgd,100,10,
11,True,0.3,exponential,sgd,100,10,
1,True,0.3,elu,sgd,100,10,84.76682763350637
2,True,0.3,elu,sgd,100,10,82.57943655315198
3,True,0.3,elu,sgd,100,10,
4,True,0.3,elu,sgd,100,10,
5,True,0.3,elu,sgd,100,10,
6,True,0.3,elu,sgd,100,10,387649591188.2105
7,True,0.3,elu,sgd,100,10,6436981.052631579
8,True,0.3,elu,sgd,100,10,5.4493555491183e+17
9,True,0.3,elu,sgd,100,10,7.2057584769840616e+16
10,True,0.3,elu,sgd,100,10,38031941.05263158
11,True,0.3,elu,sgd,100,10,2418111178.105263
1,True,0.3,linear,sgd,100,10,
2,True,0.3,linear,sgd,100,10,
3,True,0.3,linear,sgd,100,10,
4,True,0.3,linear,sgd,100,10,
5,True,0.3,linear,sgd,100,10,
6,True,0.3,linear,sgd,100,10,
7,True,0.3,linear,sgd,100,10,
8,True,0.3,linear,sgd,100,10,
9,True,0.3,linear,sgd,100,10,
10,True,0.3,linear,sgd,100,10,
11,True,0.3,linear,sgd,100,10,
1,True,0.3,relu,sgd,100,10,73.81496308979236
2,True,0.3,relu,sgd,100,10,94.7504718178197
3,True,0.3,relu,sgd,100,10,85.92964774683902
4,True,0.3,relu,sgd,100,10,102.05880054674651
5,True,0.3,relu,sgd,100,10,86.62952945106908
6,True,0.3,relu,sgd,100,10,83.29485300967568
7,True,0.3,relu,sgd,100,10,89.29258768182052
8,True,0.3,relu,sgd,100,10,76.26067733764648
9,True,0.3,relu,sgd,100,10,
10,True,0.3,relu,sgd,100,10,92.39975618061267
11,True,0.3,relu,sgd,100,10,
1,True,0.3,tanh,sgd,100,10,72.85044820685135
2,True,0.3,tanh,sgd,100,10,101.07831894723992
3,True,0.3,tanh,sgd,100,10,51.61159836618524
4,True,0.3,tanh,sgd,100,10,106.01220743279708
5,True,0.3,tanh,sgd,100,10,87.31028506630345
6,True,0.3,tanh,sgd,100,10,77.33293392783717
7,True,0.3,tanh,sgd,100,10,73.66295182077508
8,True,0.3,tanh,sgd,100,10,81.65646362304688
9,True,0.3,tanh,sgd,100,10,91.85198010896382
10,True,0.3,tanh,sgd,100,10,98.12956117328845
11,True,0.3,tanh,sgd,100,10,91.19701265033923
1,True,0.3,sigmoid,sgd,100,10,96.02049054597553
2,True,0.3,sigmoid,sgd,100,10,33.523018284847865
3,True,0.3,sigmoid,sgd,100,10,26.528382953844574
4,True,0.3,sigmoid,sgd,100,10,20.390430751599762
5,True,0.3,sigmoid,sgd,100,10,91.32065762971577
6,True,0.3,sigmoid,sgd,100,10,85.79386078683953
7,True,0.3,sigmoid,sgd,100,10,88.09586374383224
8,True,0.3,sigmoid,sgd,100,10,91.81906529476768
9,True,0.3,sigmoid,sgd,100,10,87.57584059865852
10,True,0.3,sigmoid,sgd,100,10,80.50170978746917
11,True,0.3,sigmoid,sgd,100,10,85.2112966838636
1,True,0.3,exponential,sgd,100,10,
2,True,0.3,exponential,sgd,100,10,
3,True,0.3,exponential,sgd,100,10,
4,True,0.3,exponential,sgd,100,10,
5,True,0.3,exponential,sgd,100,10,
6,True,0.3,exponential,sgd,100,10,
7,True,0.3,exponential,sgd,100,10,
8,True,0.3,exponential,sgd,100,10,
9,True,0.3,exponential,sgd,100,10,
10,True,0.3,exponential,sgd,100,10,
11,True,0.3,exponential,sgd,100,10,
1,True,0.3,elu,sgd,100,10,84.76682763350637
2,True,0.3,elu,sgd,100,10,82.57943655315198
3,True,0.3,elu,sgd,100,10,
4,True,0.3,elu,sgd,100,10,
5,True,0.3,elu,sgd,100,10,
6,True,0.3,elu,sgd,100,10,387649591188.2105
7,True,0.3,elu,sgd,100,10,6436981.052631579
8,True,0.3,elu,sgd,100,10,5.4493555491183e+17
9,True,0.3,elu,sgd,100,10,7.2057584769840616e+16
10,True,0.3,elu,sgd,100,10,38031941.05263158
11,True,0.3,elu,sgd,100,10,2418111178.105263
1,True,0.3,linear,sgd,100,10,
2,True,0.3,linear,sgd,100,10,
3,True,0.3,linear,sgd,100,10,
4,True,0.3,linear,sgd,100,10,
5,True,0.3,linear,sgd,100,10,
6,True,0.3,linear,sgd,100,10,
7,True,0.3,linear,sgd,100,10,
8,True,0.3,linear,sgd,100,10,
9,True,0.3,linear,sgd,100,10,
10,True,0.3,linear,sgd,100,10,
11,True,0.3,linear,sgd,100,10,
1,True,0.3,relu,adam,100,10,37.76951840049342
2,True,0.3,relu,adam,100,10,21.56515934592799
3,True,0.3,relu,adam,100,10,20.85386667753521
4,True,0.3,relu,adam,100,10,16.45251791100753
5,True,0.3,relu,adam,100,10,33.391062686317845
6,True,0.3,relu,adam,100,10,32.06681984349301
7,True,0.3,relu,adam,100,10,36.855199914229544
8,True,0.3,relu,adam,100,10,40.21319078144274
9,True,0.3,relu,adam,100,10,30.686101411518298
10,True,0.3,relu,adam,100,10,32.80890404550653
11,True,0.3,relu,adam,100,10,38.70703616895174
1,True,0.3,tanh,adam,100,10,93.91373885305305
2,True,0.3,tanh,adam,100,10,27.478364442524157
3,True,0.3,tanh,adam,100,10,42.01302136872944
4,True,0.3,tanh,adam,100,10,29.062276137502568
5,True,0.3,tanh,adam,100,10,66.47074970446135
6,True,0.3,tanh,adam,100,10,119.1863929346988
7,True,0.3,tanh,adam,100,10,98.36149516858552
8,True,0.3,tanh,adam,100,10,97.59642811825401
9,True,0.3,tanh,adam,100,10,68.00278432745682
10,True,0.3,tanh,adam,100,10,59.77774067928917
11,True,0.3,tanh,adam,100,10,74.91332525956004
1,True,0.3,sigmoid,adam,100,10,37.79871247944079
2,True,0.3,sigmoid,adam,100,10,22.86557287918894
3,True,0.3,sigmoid,adam,100,10,23.308271307694284
4,True,0.3,sigmoid,adam,100,10,36.59225775066175
5,True,0.3,sigmoid,adam,100,10,89.43173217773438
6,True,0.3,sigmoid,adam,100,10,76.15604782104492
7,True,0.3,sigmoid,adam,100,10,82.37034867939197
8,True,0.3,sigmoid,adam,100,10,54.043007700066816
9,True,0.3,sigmoid,adam,100,10,77.79986672652394
10,True,0.3,sigmoid,adam,100,10,54.692746011834394
11,True,0.3,sigmoid,adam,100,10,69.4671566611842
1,True,0.3,exponential,adam,100,10,110665417.37602796
2,True,0.3,exponential,adam,100,10,20351360.263157893
3,True,0.3,exponential,adam,100,10,1019056342.7368422
4,True,0.3,exponential,adam,100,10,
5,True,0.3,exponential,adam,100,10,
6,True,0.3,exponential,adam,100,10,
7,True,0.3,exponential,adam,100,10,
8,True,0.3,exponential,adam,100,10,
9,True,0.3,exponential,adam,100,10,
10,True,0.3,exponential,adam,100,10,
11,True,0.3,exponential,adam,100,10,
1,True,0.3,elu,adam,100,10,27.06918616043894
2,True,0.3,elu,adam,100,10,32.52346841912521
3,True,0.3,elu,adam,100,10,34.18799691451223
4,True,0.3,elu,adam,100,10,18.781287243491725
5,True,0.3,elu,adam,100,10,32.55110103205631
6,True,0.3,elu,adam,100,10,26.03613190901907
7,True,0.3,elu,adam,100,10,34.21564875150982
8,True,0.3,elu,adam,100,10,24.33914556001362
9,True,0.3,elu,adam,100,10,31.574023397345293
10,True,0.3,elu,adam,100,10,23.325236069528682
11,True,0.3,elu,adam,100,10,34.636984975714434
1,True,0.3,linear,adam,100,10,36.20631388614052
2,True,0.3,linear,adam,100,10,32.26425311439916
3,True,0.3,linear,adam,100,10,28.171720906307822
4,True,0.3,linear,adam,100,10,37.76769166243704
5,True,0.3,linear,adam,100,10,31.828222174393503
6,True,0.3,linear,adam,100,10,33.56161910609195
7,True,0.3,linear,adam,100,10,32.9672659823769
8,True,0.3,linear,adam,100,10,39.214334186754726
9,True,0.3,linear,adam,100,10,33.059476350483145
10,True,0.3,linear,adam,100,10,42.05500130904348
11,True,0.3,linear,adam,100,10,39.36541406731857
1,True,0.3,relu,nadam,100,10,40.1854890522204
2,True,0.3,relu,nadam,100,10,26.454490159687243
3,True,0.3,relu,nadam,100,10,23.356428447522614
4,True,0.3,relu,nadam,100,10,24.535789288972552
5,True,0.3,relu,nadam,100,10,33.38913676613256
6,True,0.3,relu,nadam,100,10,21.7399007897628
7,True,0.3,relu,nadam,100,10,31.067138471101458
8,True,0.3,relu,nadam,100,10,41.66756228396767
9,True,0.3,relu,nadam,100,10,21.039417969553096
10,True,0.3,relu,nadam,100,10,16.141786023190146
11,True,0.3,relu,nadam,100,10,19.978554675453587
1,True,0.3,tanh,nadam,100,10,92.09974349172492
2,True,0.3,tanh,nadam,100,10,18.315539661206696
3,True,0.3,tanh,nadam,100,10,22.421947880795127
4,True,0.3,tanh,nadam,100,10,19.91756067777935
5,True,0.3,tanh,nadam,100,10,81.4080292551141
6,True,0.3,tanh,nadam,100,10,77.73512328298469
7,True,0.3,tanh,nadam,100,10,95.64184891550164
8,True,0.3,tanh,nadam,100,10,41.27640071668123
9,True,0.3,tanh,nadam,100,10,50.86872181139494
10,True,0.3,tanh,nadam,100,10,43.71503528795744
11,True,0.3,tanh,nadam,100,10,57.447937413265834
1,True,0.3,sigmoid,nadam,100,10,28.235594699257298
2,True,0.3,sigmoid,nadam,100,10,18.106962203979492
3,True,0.3,sigmoid,nadam,100,10,25.037061038770172
4,True,0.3,sigmoid,nadam,100,10,28.680723491467926
5,True,0.3,sigmoid,nadam,100,10,87.60049318012439
6,True,0.3,sigmoid,nadam,100,10,74.32892729106702
7,True,0.3,sigmoid,nadam,100,10,30.745099920975534
8,True,0.3,sigmoid,nadam,100,10,93.71804488332648
9,True,0.3,sigmoid,nadam,100,10,73.93188717490749
10,True,0.3,sigmoid,nadam,100,10,52.78601094296104
11,True,0.3,sigmoid,nadam,100,10,36.91197475634123
1,True,0.3,exponential,nadam,100,10,8735831.929276315
2,True,0.3,exponential,nadam,100,10,42488573.921052635
3,True,0.3,exponential,nadam,100,10,669338790.2631578
4,True,0.3,exponential,nadam,100,10,
5,True,0.3,exponential,nadam,100,10,
6,True,0.3,exponential,nadam,100,10,
7,True,0.3,exponential,nadam,100,10,
8,True,0.3,exponential,nadam,100,10,
9,True,0.3,exponential,nadam,100,10,
10,True,0.3,exponential,nadam,100,10,
11,True,0.3,exponential,nadam,100,10,
1,True,0.3,elu,nadam,100,10,29.813601744802373
2,True,0.3,elu,nadam,100,10,21.30767741956209
3,True,0.3,elu,nadam,100,10,19.658320075587223
4,True,0.3,elu,nadam,100,10,25.25921630859375
5,True,0.3,elu,nadam,100,10,37.27118928808915
6,True,0.3,elu,nadam,100,10,26.111666679382324
7,True,0.3,elu,nadam,100,10,17.69093774494372
8,True,0.3,elu,nadam,100,10,32.7765171653346
9,True,0.3,elu,nadam,100,10,25.331905063829925
10,True,0.3,elu,nadam,100,10,26.05634076971757
11,True,0.3,elu,nadam,100,10,67.23829911884509
1,True,0.3,linear,nadam,100,10,37.60569903725072
2,True,0.3,linear,nadam,100,10,29.027460700587223
3,True,0.3,linear,nadam,100,10,28.7785375494706
4,True,0.3,linear,nadam,100,10,27.648365623072575
5,True,0.3,linear,nadam,100,10,26.599896305485775
6,True,0.3,linear,nadam,100,10,79.32698822021484
7,True,0.3,linear,nadam,100,10,39.57169221576891
8,True,0.3,linear,nadam,100,10,22.521703067578766
9,True,0.3,linear,nadam,100,10,46.139646429764596
10,True,0.3,linear,nadam,100,10,34.55580139160156
11,True,0.3,linear,nadam,100,10,33.852935791015625
1,True,0.3,relu,nadam,100,10,40.1854890522204
2,True,0.3,relu,nadam,100,10,26.454490159687243
3,True,0.3,relu,nadam,100,10,23.356428447522614
4,True,0.3,relu,nadam,100,10,24.535789288972552
5,True,0.3,relu,nadam,100,10,33.38913676613256
6,True,0.3,relu,nadam,100,10,21.7399007897628
7,True,0.3,relu,nadam,100,10,31.067138471101458
8,True,0.3,relu,nadam,100,10,41.66756228396767
9,True,0.3,relu,nadam,100,10,21.039417969553096
10,True,0.3,relu,nadam,100,10,16.141786023190146
11,True,0.3,relu,nadam,100,10,19.978554675453587
1,True,0.3,tanh,nadam,100,10,92.09974349172492
2,True,0.3,tanh,nadam,100,10,18.315539661206696
3,True,0.3,tanh,nadam,100,10,22.421947880795127
4,True,0.3,tanh,nadam,100,10,19.91756067777935
5,True,0.3,tanh,nadam,100,10,81.4080292551141
6,True,0.3,tanh,nadam,100,10,77.73512328298469
7,True,0.3,tanh,nadam,100,10,95.64184891550164
8,True,0.3,tanh,nadam,100,10,41.27640071668123
9,True,0.3,tanh,nadam,100,10,50.86872181139494
10,True,0.3,tanh,nadam,100,10,43.71503528795744
11,True,0.3,tanh,nadam,100,10,57.447937413265834
1,True,0.3,sigmoid,nadam,100,10,28.235594699257298
2,True,0.3,sigmoid,nadam,100,10,18.106962203979492
3,True,0.3,sigmoid,nadam,100,10,25.037061038770172
4,True,0.3,sigmoid,nadam,100,10,28.680723491467926
5,True,0.3,sigmoid,nadam,100,10,87.60049318012439
6,True,0.3,sigmoid,nadam,100,10,74.32892729106702
7,True,0.3,sigmoid,nadam,100,10,30.745099920975534
8,True,0.3,sigmoid,nadam,100,10,93.71804488332648
9,True,0.3,sigmoid,nadam,100,10,73.93188717490749
10,True,0.3,sigmoid,nadam,100,10,52.78601094296104
11,True,0.3,sigmoid,nadam,100,10,36.91197475634123
1,True,0.3,exponential,nadam,100,10,8735831.929276315
2,True,0.3,exponential,nadam,100,10,42488573.921052635
3,True,0.3,exponential,nadam,100,10,669338790.2631578
4,True,0.3,exponential,nadam,100,10,
5,True,0.3,exponential,nadam,100,10,
6,True,0.3,exponential,nadam,100,10,
7,True,0.3,exponential,nadam,100,10,
8,True,0.3,exponential,nadam,100,10,
9,True,0.3,exponential,nadam,100,10,
10,True,0.3,exponential,nadam,100,10,
11,True,0.3,exponential,nadam,100,10,
1,True,0.3,elu,nadam,100,10,29.813601744802373
2,True,0.3,elu,nadam,100,10,21.30767741956209
3,True,0.3,elu,nadam,100,10,19.658320075587223
4,True,0.3,elu,nadam,100,10,25.25921630859375
5,True,0.3,elu,nadam,100,10,37.27118928808915
6,True,0.3,elu,nadam,100,10,26.111666679382324
7,True,0.3,elu,nadam,100,10,17.69093774494372
8,True,0.3,elu,nadam,100,10,32.7765171653346
9,True,0.3,elu,nadam,100,10,25.331905063829925
10,True,0.3,elu,nadam,100,10,26.05634076971757
11,True,0.3,elu,nadam,100,10,67.23829911884509
1,True,0.3,linear,nadam,100,10,37.60569903725072
2,True,0.3,linear,nadam,100,10,29.027460700587223
3,True,0.3,linear,nadam,100,10,28.7785375494706
4,True,0.3,linear,nadam,100,10,27.648365623072575
5,True,0.3,linear,nadam,100,10,26.599896305485775
6,True,0.3,linear,nadam,100,10,79.32698822021484
7,True,0.3,linear,nadam,100,10,39.57169221576891
8,True,0.3,linear,nadam,100,10,22.521703067578766
9,True,0.3,linear,nadam,100,10,46.139646429764596
10,True,0.3,linear,nadam,100,10,34.55580139160156
11,True,0.3,linear,nadam,100,10,33.852935791015625
1,False,0.3,relu,sgd,100,10,26.705983714053506
2,False,0.3,relu,sgd,100,10,22.192035574662057
3,False,0.3,relu,sgd,100,10,27.341610356381064
4,False,0.3,relu,sgd,100,10,21.92750398736251
5,False,0.3,relu,sgd,100,10,17.395022141306026
6,False,0.3,relu,sgd,100,10,12.394358383981805
7,False,0.3,relu,sgd,100,10,14.212360080919767
8,False,0.3,relu,sgd,100,10,17.915884118331107
9,False,0.3,relu,sgd,100,10,13.61896861226935
10,False,0.3,relu,sgd,100,10,40.5182412800036
11,False,0.3,relu,sgd,100,10,9.976801370319567
1,False,0.3,tanh,sgd,100,10,29.680606641267474
2,False,0.3,tanh,sgd,100,10,20.846536887319463
3,False,0.3,tanh,sgd,100,10,22.545786154897588
4,False,0.3,tanh,sgd,100,10,20.534398731432464
5,False,0.3,tanh,sgd,100,10,23.320719919706647
6,False,0.3,tanh,sgd,100,10,20.74893449482165
7,False,0.3,tanh,sgd,100,10,15.380307548924497
8,False,0.3,tanh,sgd,100,10,9.39883041381836
9,False,0.3,tanh,sgd,100,10,14.195613258763364
10,False,0.3,tanh,sgd,100,10,23.75277509187397
11,False,0.3,tanh,sgd,100,10,15.101808246813322
1,False,0.3,sigmoid,sgd,100,10,27.85885419343647
2,False,0.3,sigmoid,sgd,100,10,18.30530668559827
3,False,0.3,sigmoid,sgd,100,10,15.99358192243074
4,False,0.3,sigmoid,sgd,100,10,16.416554400795384
